annual_income,debt_to_income_ratio,credit_history_length,open_credit_lines,approved
79760,5.7,13.9,13,1
21376,23.9,27.7,1,1
26765,46.1,16.3,4,0
32042,24.3,5.8,2,0
20923,27.7,25.1,13,0
120205,45.5,8.6,7,0
140055,18.3,20.5,6,1
158125,57.2,1.1,2,0
157914,37.8,11.2,9,1
60013,10.6,1.0,10,0
155643,64.9,16.1,13,0
137671,41.0,16.5,8,1
171011,58.6,19.3,9,0
156308,49.9,4.8,3,1
96562,35.2,29.7,0,1
48960,11.0,15.6,12,0
50504,33.1,24.8,14,0
153956,13.4,14.8,9,1
173187,42.1,0.1,2,1
79596,12.6,23.2,7,1
151710,13.1,22.6,10,1
128198,7.7,16.5,7,1
138101,46.4,14.2,12,0
108858,20.5,19.7,13,1
93738,24.7,25.2,0,1
143580,9.1,0.3,2,1
80592,64.1,21.7,11,0
156181,11.2,17.6,2,1
38270,34.3,4.7,2,0
167352,24.2,8.1,4,1
63678,64.5,14.2,7,0
21616,14.2,15.5,1,1
86201,29.5,3.2,3,1
87244,33.5,17.0,11,0
34388,25.4,19.6,4,1
37281,40.3,9.6,10,0
103521,51.6,20.7,14,0
142082,22.2,4.6,4,1
31135,8.6,13.0,4,1
98852,36.8,15.0,0,1
145589,57.8,2.2,13,0
24815,34.6,22.7,4,0
30478,36.3,29.0,15,0
110740,32.7,14.1,13,0
43373,49.3,27.0,7,0
103209,56.1,2.3,2,0
36168,55.5,7.5,15,0
151420,41.4,8.3,13,0
171527,36.6,17.8,1,1
144837,63.3,4.4,14,0
108814,7.5,26.4,5,1
118288,13.8,19.9,0,1
107841,6.3,20.5,14,1
110471,52.7,10.1,8,0
65765,50.4,24.7,15,0
168451,10.9,26.1,11,1
131794,46.3,10.5,10,0
101171,9.5,11.9,10,1
113055,41.2,11.3,11,0
40700,50.2,27.4,6,0
46879,21.1,4.3,4,0
122525,32.8,20.9,11,0
60116,6.5,26.8,9,1
161141,57.1,9.6,5,0
93562,10.3,28.7,9,1
175196,23.2,13.4,2,1
42907,8.1,29.1,10,1
27828,9.3,18.3,7,1
82430,43.2,7.0,6,0
33270,20.9,15.1,12,0
149000,41.4,21.3,4,1
114257,9.4,16.7,4,1
29692,16.4,28.7,11,1
32928,26.1,22.6,2,0
82658,44.2,22.1,2,0
50628,27.2,2.6,15,0
118426,15.7,7.5,0,1
169469,41.1,24.7,15,1
167113,14.0,27.4,1,1
120972,10.6,13.9,4,1
176929,26.3,7.2,1,1
76305,47.3,14.0,15,0
106457,12.4,29.4,2,1
116230,20.9,27.6,14,1
111484,64.1,15.6,9,0
37224,49.0,22.7,3,0
18955,63.2,20.8,9,0
163322,41.9,24.7,0,1
82215,30.1,4.9,15,0
151953,7.8,26.6,0,1
175996,52.0,12.9,10,0
137759,56.8,9.7,11,0
22289,39.9,26.2,7,0
125856,49.8,20.7,5,1
77421,8.1,6.8,15,0
84591,28.5,24.0,0,1
143679,36.8,8.7,0,1
151391,31.5,29.2,12,1
142355,57.4,20.8,1,0
119470,50.0,10.1,14,0
91200,18.7,28.8,3,1
158105,14.2,20.0,4,1
102663,39.1,7.3,5,0
94385,36.9,13.8,3,0
112240,38.6,28.3,10,0
177193,49.9,20.5,9,1
31683,18.4,15.2,5,0
26026,17.0,25.6,4,1
134115,20.5,17.2,4,1
152796,60.3,0.8,3,0
80543,36.2,28.5,2,1
166370,38.7,12.4,2,1
101151,14.0,24.6,6,1
55648,7.8,2.0,11,0
108748,20.4,24.0,1,1
58677,44.8,23.1,14,0
150392,58.7,2.8,4,0
83907,6.1,9.6,1,1
126865,22.9,29.6,4,1
135420,37.2,1.4,5,0
115190,60.5,11.3,13,0
84078,10.2,28.0,1,1
52154,38.9,10.6,13,0
107981,9.8,20.2,11,1
163993,64.2,13.5,2,0
96937,41.6,19.2,7,0
119100,23.3,3.8,0,1
72366,12.4,11.8,4,1
69483,64.2,1.8,8,0
62756,20.7,7.0,4,0
167917,25.0,24.5,10,1
50743,26.6,9.3,5,0
158782,61.6,25.8,8,1
65126,63.2,28.5,5,0
57030,27.7,24.5,15,0
103258,22.1,2.7,9,0
67979,52.9,1.5,0,0
106476,38.2,1.5,2,1
156278,7.3,24.6,2,1
97276,36.7,17.7,2,1
101117,37.7,3.2,1,0
46245,12.0,0.9,0,1
128871,56.0,13.9,12,0
89423,56.0,3.3,6,0
146213,7.6,6.1,14,1
19378,48.5,6.8,3,0
81274,55.3,19.1,9,0
60574,40.3,7.3,14,0
127122,15.9,9.7,15,1
108459,41.6,17.9,9,1
128669,5.7,16.5,12,1
23395,27.6,6.2,3,0
75930,53.0,2.4,13,0
105790,64.4,16.7,3,0
157990,30.7,20.0,15,1
47195,63.9,8.7,12,0
162594,36.7,23.0,5,1
139505,22.8,23.6,13,1
107840,44.6,4.4,13,0
108709,31.8,18.3,11,0
91054,21.2,28.3,7,1
176023,22.2,24.6,10,1
126648,35.0,2.0,12,0
58659,31.6,21.9,10,0
63069,21.4,15.4,12,0
177054,54.5,15.8,1,1
93468,33.0,15.3,13,0
100726,28.4,17.5,9,1
53073,9.1,6.7,15,0
179807,31.9,19.6,9,1
147096,64.3,29.8,10,0
92386,25.9,20.1,1,1
20097,39.4,11.0,13,0
165692,12.1,29.9,8,1
38038,55.9,3.0,12,0
35125,56.0,18.7,13,0
136526,23.5,18.3,5,1
115730,24.6,1.5,1,1
67918,6.3,27.7,7,1
122777,30.4,14.7,8,0
23675,53.2,16.0,9,0
32707,21.8,12.0,9,0
117607,38.3,2.9,0,0
102031,43.9,0.0,5,0
81553,13.2,19.5,13,1
59234,13.5,10.5,0,1
161833,52.1,3.5,4,0
144179,32.5,9.5,3,1
152630,40.9,25.4,9,1
126021,60.8,24.2,1,0
137887,30.2,4.9,10,0
115050,50.8,25.6,9,0
96456,55.0,10.2,15,0
116016,35.9,14.9,10,0
149388,16.2,17.9,14,1
95236,23.1,22.4,0,1
140395,50.3,0.6,7,0
36597,44.4,6.8,5,0
61868,58.9,17.0,0,0
34536,60.5,8.8,13,0
69568,18.5,27.4,2,1
47257,7.3,24.4,10,1
155415,12.6,3.7,8,1
21666,60.6,13.4,13,0
27777,27.7,10.3,10,0
150665,56.2,11.4,10,0
