annual_income,debt_to_income_ratio,credit_history_length,open_credit_lines,approved
129432,38.7,24.4,8,1
178642,28.7,13.1,0,1
144732,36.4,28.8,4,1
169110,12.6,24.3,12,1
19525,28.8,14.7,6,0
122854,25.4,5.5,7,1
135612,44.8,3.3,10,0
40209,49.7,23.4,5,0
139551,35.7,1.9,0,1
95794,21.0,26.4,2,1
72390,17.3,2.2,2,1
32709,10.5,28.7,1,1
52860,26.7,13.4,0,1
150978,29.0,22.5,1,1
156277,53.4,9.9,14,0
120857,47.5,19.5,5,0
103860,32.5,19.3,12,1
128334,7.9,26.6,5,1
108354,39.4,8.1,3,1
164978,13.5,14.2,15,1
62960,54.4,6.9,15,0
153386,23.2,0.8,1,1
71965,56.0,26.6,14,0
93957,27.5,19.3,0,1
84112,27.0,10.8,7,1
56487,22.9,19.3,13,0
137511,50.6,16.2,12,0
81216,35.2,9.1,0,1
71782,53.8,29.5,8,0
142753,57.2,9.9,0,1
55309,48.6,2.0,12,0
81063,25.3,25.9,5,1
71515,32.4,9.5,12,0
52877,16.5,8.6,13,0
151237,22.3,1.2,12,0
157975,24.1,5.5,2,1
107889,56.0,12.5,14,0
123056,13.8,24.4,11,1
154252,64.0,0.9,12,0
126629,49.8,9.6,2,0
71917,64.3,5.9,10,0
34078,15.5,23.5,1,0
173723,60.0,6.5,3,0
88035,32.2,11.7,2,1
171309,26.1,27.0,13,1
33510,20.0,23.6,13,0
109525,16.5,29.4,15,1
175749,50.6,26.1,5,1
173476,7.5,12.1,0,1
15866,6.8,13.3,0,1
137882,51.0,22.1,7,1
145336,29.5,5.7,11,0
16002,53.3,20.9,14,0
55211,52.4,21.5,15,0
166826,49.7,27.5,1,1
113154,28.2,6.1,15,0
133993,43.4,24.5,14,0
162066,33.1,10.6,11,1
66691,17.3,24.9,3,1
19292,51.0,20.4,12,0
108152,57.2,20.6,9,0
45157,36.0,12.5,14,0
75496,59.1,23.3,8,0
153424,18.2,5.5,10,1
65899,62.4,8.0,5,0
72894,38.4,23.0,7,1
83196,15.2,28.7,11,1
81965,11.3,2.8,4,0
32801,39.2,13.8,13,0
174746,62.5,13.3,5,0
90491,28.6,3.2,2,1
38528,6.0,17.8,3,1
121051,38.9,19.4,2,1
109549,30.5,1.1,5,0
111330,35.6,22.1,6,0
117076,36.4,22.3,9,1
78864,51.4,0.1,12,0
143447,38.9,7.1,7,0
137429,43.1,9.0,5,0
60090,5.5,6.7,11,0
41911,57.7,16.5,15,0
154764,33.5,22.7,0,1
113201,40.9,7.0,2,0
77456,12.0,11.5,11,1
87747,29.4,3.4,11,0
129995,41.1,15.6,10,0
131846,14.2,12.9,0,1
15666,26.3,1.2,1,0
46398,37.5,13.1,1,0
66455,7.8,9.7,3,1
73069,30.7,25.3,4,1
133699,51.5,4.2,11,0
25355,53.3,4.8,9,0
84250,16.6,10.7,10,0
144568,18.6,26.3,3,1
177394,55.3,8.1,15,0
93902,32.6,6.1,12,0
144969,63.7,15.7,10,0
142041,41.2,11.9,8,0
98731,31.9,11.8,3,1
110960,40.6,16.1,11,0
79250,39.2,15.9,2,0
168382,39.8,0.1,0,1
59725,41.8,4.0,11,0
102063,27.6,3.0,10,0
158804,51.7,6.3,7,0
96456,36.5,2.4,14,0
121755,17.1,27.3,6,1
126792,52.5,22.2,9,0
142736,36.1,24.7,7,1
95486,38.1,19.6,12,0
44241,20.3,4.7,11,0
143068,13.9,4.8,5,1
150714,61.7,8.7,1,0
118335,29.7,6.5,12,0
122288,14.4,6.4,11,1
116528,49.4,2.3,5,0
