debt_to_income_ratio,annual_income_k
61.7,55.7
41.1,94.3
49.4,78.5
49.2,96.1
35.0,138.1
43.3,87.7
8.0,177.5
16.3,159.0
38.2,118.1
6.3,183.8
16.5,109.1
49.7,83.4
25.8,131.1
36.4,142.8
37.2,106.7
51.2,80.6
35.7,106.3
61.7,76.7
18.4,150.4
10.8,161.8
12.7,185.0
30.5,102.2
47.2,75.9
50.8,80.0
25.2,162.4
21.4,148.4
17.5,146.1
45.3,75.9
32.4,112.1
60.3,33.1
53.5,40.1
16.6,169.6
38.0,123.3
56.4,44.1
11.4,185.0
59.5,36.9
17.3,139.5
7.1,175.2
15.2,154.1
55.2,50.6
19.6,162.5
24.8,145.8
20.2,173.2
53.5,68.3
59.9,61.7
41.4,79.5
64.4,38.7
54.6,94.1
30.4,101.3
42.5,101.9
61.5,32.4
62.6,49.4
9.4,176.6
61.1,44.6
26.0,145.3
12.7,185.0
18.7,180.1
41.4,71.6
64.0,56.7
14.7,147.3
11.4,144.1
35.3,121.8
43.8,74.4
22.3,168.0
56.8,30.9
58.4,88.4
16.9,120.2
39.7,132.0
41.0,122.1
16.8,174.9
61.7,47.4
8.3,120.5
40.0,108.1
36.1,158.5
28.0,137.1
60.5,35.1
34.0,95.0
55.5,64.5
30.8,152.3
37.0,115.4
11.1,159.6
47.1,99.4
14.2,159.2
36.9,91.2
11.4,163.2
41.1,113.3
54.3,57.3
43.9,83.6
55.9,77.0
34.9,112.0
16.7,158.3
17.6,157.9
44.7,69.7
17.3,133.6
51.0,65.7
52.1,92.6
38.1,84.4
49.5,64.6
64.6,60.4
25.8,129.6
