debt_to_income_ratio,defaulted
32.3,1
59.6,1
45.2,0
44.7,1
58.6,1
39.3,1
27.2,0
35.5,0
38.4,1
10.7,0
51.8,1
30.9,0
59.2,1
16.5,0
58.9,1
61.0,1
49.7,0
17.0,1
51.3,0
48.3,1
56.5,1
25.3,1
17.5,0
47.2,1
25.0,0
55.2,1
56.2,0
6.4,0
22.5,0
35.3,0
21.7,0
7.2,0
53.8,1
11.3,0
12.4,0
15.4,0
39.9,1
15.4,0
14.3,0
28.6,1
44.5,0
46.0,1
23.9,0
25.3,0
51.7,0
36.1,0
13.0,0
51.7,1
50.9,1
47.1,1
57.1,1
27.5,0
47.0,1
19.0,0
31.9,0
50.8,1
35.4,1
27.3,0
33.9,0
15.8,0
22.6,0
31.1,0
22.3,0
36.5,0
50.3,1
17.9,0
19.6,0
6.5,0
29.4,0
27.8,0
56.5,1
50.7,1
8.1,0
14.5,0
53.1,1
14.8,0
19.0,0
6.1,0
34.6,1
46.9,1
8.0,0
19.3,0
63.9,1
12.2,0
19.0,0
45.2,0
45.3,1
60.7,1
50.8,1
46.7,1
53.3,1
28.6,0
45.1,1
51.7,1
40.7,1
7.6,0
43.0,0
60.6,1
10.4,0
15.0,0
14.1,0
12.3,0
15.0,0
41.9,1
52.0,1
7.4,0
34.2,0
15.9,0
11.9,0
6.7,0
23.6,0
39.7,1
35.3,1
60.0,1
21.2,0
31.5,0
13.2,0
31.3,1
52.2,1
42.8,1
21.0,0
32.0,0
13.9,0
41.1,1
49.8,1
60.5,1
34.0,0
51.8,1
15.7,0
63.8,1
6.4,0
23.5,0
64.5,1
38.2,1
47.6,1
41.0,1
21.9,0
31.8,0
63.8,1
6.8,0
18.6,0
5.8,0
48.6,1
14.7,0
42.6,0
48.2,1
51.8,1
57.8,1
27.2,0
51.4,1
40.9,0
47.3,1
39.3,1
46.7,1
5.6,0
41.4,1
63.2,1
56.1,1
50.5,1
35.1,0
30.1,0
39.9,1
54.7,1
55.2,1
60.0,1
33.4,0
11.1,0
45.8,1
38.4,0
60.9,1
44.1,1
27.4,0
51.3,1
23.1,0
53.5,1
47.3,0
24.0,0
28.2,0
27.9,0
60.3,1
10.8,0
8.2,0
42.2,0
29.7,0
12.5,0
33.8,0
38.2,0
61.8,1
5.7,0
14.9,0
29.5,0
49.6,1
31.2,0
30.1,0
11.6,0
57.5,1
12.2,0
42.0,1
12.0,0
6.3,0
7.5,0
8.4,0
47.0,0
44.7,1
38.3,1
8.1,0
29.8,0
55.0,1
30.6,1
16.6,0
14.0,0
15.9,0
33.2,0
15.6,0
13.6,0
34.4,0
10.1,0
52.2,1
27.3,0
42.9,1
20.4,0
58.0,1
32.5,1
13.1,0
10.7,0
7.5,0
24.7,0
33.7,1
13.4,0
52.0,1
16.7,0
49.1,1
23.1,0
24.0,0
64.3,1
47.0,1
13.6,0
54.5,1
11.4,0
35.3,0
37.4,0
61.2,1
44.0,1
11.5,0
24.8,0
13.4,0
54.6,1
47.6,1
14.9,0
63.1,1
39.8,0
58.6,1
61.2,1
34.4,0
38.6,0
39.1,1
33.9,1
44.8,1
8.8,0
43.5,1
49.8,1
32.8,0
51.1,1
61.2,1
22.8,0
64.7,1
15.5,0
23.1,0
58.4,1
17.1,0
43.0,1
30.0,1
63.5,1
53.3,1
32.5,1
59.6,1
13.9,0
38.3,0
45.9,1
25.4,0
18.5,0
46.8,1
33.4,1
49.7,1
12.0,0
55.3,1
37.2,0
60.5,1
33.0,1
41.4,0
13.6,0
17.0,0
11.4,0
33.5,1
44.6,0
52.1,0
56.1,1
7.7,0
25.0,1
53.0,1
14.2,0
35.2,1
56.0,1
55.5,1
23.2,1
61.9,1
24.0,0
45.3,1
18.8,0
54.9,1
13.4,0
58.2,1
61.8,1
30.1,0
56.6,1
63.2,1
43.2,1
8.5,0
5.3,0
40.2,1
42.6,0
54.5,1
64.9,1
18.1,0
45.7,1
12.9,0
38.9,1
62.5,1
64.8,1
12.7,0
31.3,0
12.8,0
10.0,0
19.9,0
35.9,0
55.3,1
11.9,0
17.1,0
10.3,0
33.0,1
23.6,0
26.9,0
53.1,1
54.6,1
22.1,0
5.9,0
46.3,0
18.6,0
51.3,1
43.4,1
16.8,0
36.4,1
24.9,0
29.2,1
28.3,0
36.2,0
44.4,0
40.4,0
44.2,1
21.8,0
29.9,1
60.3,1
26.7,0
39.3,1
11.5,0
53.1,1
10.3,0
55.9,1
56.1,1
10.9,0
41.7,1
10.1,0
24.0,0
35.0,1
37.1,1
41.2,1
8.3,0
32.5,0
43.1,1
35.8,0
23.7,1
12.1,0
34.6,0
36.9,0
62.3,1
53.1,1
44.9,1
28.9,0
40.3,1
64.4,1
46.2,1
41.7,0
31.9,0
32.3,0
50.8,1
51.9,1
48.1,1
34.9,1
55.6,1
49.2,1
40.3,0
19.4,0
23.4,0
49.9,1
7.2,0
61.4,1
42.0,1
23.9,0
27.0,1
58.8,1
11.3,0
40.8,0
28.1,0
31.0,1
38.3,0
46.1,1
62.5,1
44.9,1
57.5,1
27.0,0
9.0,0
63.0,1
56.4,1
40.0,1
39.3,1
61.2,1
27.6,0
22.2,0
8.5,0
63.8,1
20.2,0
13.7,0
60.6,1
30.0,0
59.4,1
23.7,0
21.3,0
43.9,1
21.2,0
25.8,0
37.9,0
54.9,1
62.2,1
38.2,0
20.0,0
10.4,0
19.0,0
27.4,0
53.3,1
51.1,1
43.6,0
16.4,0
14.3,0
22.5,0
61.3,1
33.0,1
23.1,0
30.9,0
34.3,0
13.5,0
42.8,1
5.4,0
54.8,1
55.2,1
15.3,0
23.8,0
58.5,1
39.3,0
62.5,1
55.0,1
7.7,0
14.2,0
12.9,0
40.3,0
19.2,0
34.5,0
22.7,0
19.2,0
12.4,0
10.7,0
54.0,1
43.3,1
43.5,1
60.7,1
59.5,1
6.5,0
8.3,0
9.8,0
55.7,1
53.2,1
41.0,1
35.9,0
12.1,0
60.5,1
49.3,0
33.3,1
22.0,0
22.3,0
24.5,0
51.6,1
14.2,0
37.0,1
51.6,1
40.5,1
7.6,0
12.2,0
53.0,1
13.4,0
38.9,1
13.8,0
28.0,0
36.4,0
16.9,0
12.3,0
26.6,0
52.0,1
38.9,1
33.5,0
11.2,0
28.9,0
56.4,1
43.1,1
31.6,0
21.9,0
31.2,0
44.1,1
48.8,1
10.7,0
12.9,0
52.2,1
48.5,1
59.2,1
57.0,1
13.7,0
16.0,0
43.0,1
6.3,0
63.3,1
60.0,1
60.1,1
30.7,0
48.0,1
56.0,1
31.3,0
40.2,1
44.9,1
18.8,0
33.2,0
34.6,1
56.0,1
10.5,0
51.5,0
46.8,0
61.2,1
52.7,1
52.8,1
54.4,0
24.6,1
62.1,1
40.5,1
54.8,1
5.4,0
7.2,0
42.8,0
36.2,0
36.8,0
55.6,1
20.7,0
23.3,0
9.3,0
13.4,0
21.7,0
10.0,0
32.2,1
26.3,0
27.1,1
43.2,1
11.5,0
24.1,0
19.5,0
64.2,1
58.8,1
43.9,1
40.6,1
21.0,0
15.2,0
62.7,1
26.9,0
32.7,1
52.0,1
49.1,1
47.9,1
44.0,1
44.0,1
50.5,1
29.5,0
32.0,1
8.3,0
17.1,0
21.0,0
